Numero de documentos (tweets) del corpus :15398
Número de palabras del corpus:195855
Palabra:aunt Frec:4 LogProb:-10.662825014326547
Palabra:austerity Frec:4 LogProb:-10.662825014326547
Palabra:authentic Frec:2 LogProb:-11.173650638092537
Palabra:author Frec:3 LogProb:-10.885968565640756
Palabra:authorities Frec:25 LogProb:-9.014166388739165
Palabra:authority Frec:24 LogProb:-9.053387101892445
Palabra:authorization Frec:3 LogProb:-10.885968565640756
Palabra:authorized Frec:2 LogProb:-11.173650638092537
Palabra:authors Frec:3 LogProb:-10.885968565640756
Palabra:autism Frec:2 LogProb:-11.173650638092537
Palabra:autistic Frec:2 LogProb:-11.173650638092537
Palabra:auto Frec:20 LogProb:-9.227740489037224
Palabra:autoimmune Frec:4 LogProb:-10.662825014326547
Palabra:automated Frec:5 LogProb:-10.480503457532592
Palabra:automatically Frec:2 LogProb:-11.173650638092537
Palabra:automation Frec:6 LogProb:-10.326352777705333
Palabra:automotive Frec:10 LogProb:-9.874367653962276
Palabra:avail Frec:7 LogProb:-10.19282138508081
Palabra:availability Frec:23 LogProb:-9.094209096412701
Palabra:avalanche Frec:2 LogProb:-11.173650638092537
Palabra:ave Frec:3 LogProb:-10.885968565640756
Palabra:avenue Frec:4 LogProb:-10.662825014326547
Palabra:average Frec:38 LogProb:-8.608701280631
Palabra:averaged Frec:2 LogProb:-11.173650638092537
Palabra:averages Frec:2 LogProb:-11.173650638092537
Palabra:aversions Frec:2 LogProb:-11.173650638092537
Palabra:averting Frec:3 LogProb:-10.885968565640756
