Numero de documentos (tweets) del corpus :18046
Número de palabras del corpus:223478
Palabra:assuming Frec:4 LogProb:-10.784395636452805
Palabra:assumptions Frec:3 LogProb:-11.007539187767014
Palabra:assurance Frec:2 LogProb:-11.295221260218796
Palabra:assurances Frec:2 LogProb:-11.295221260218796
Palabra:assure Frec:18 LogProb:-9.449394569720464
Palabra:assured Frec:19 LogProb:-9.398101275332914
Palabra:assures Frec:7 LogProb:-10.314392007207069
Palabra:assuring Frec:3 LogProb:-11.007539187767014
Palabra:asthma Frec:6 LogProb:-10.447923399831591
Palabra:asthmatic Frec:4 LogProb:-10.784395636452805
Palabra:astounding Frec:2 LogProb:-11.295221260218796
Palabra:astronomical Frec:6 LogProb:-10.447923399831591
Palabra:asymptomatic Frec:13 LogProb:-9.754776219271646
Palabra:ate Frec:3 LogProb:-11.007539187767014
Palabra:athletes Frec:13 LogProb:-9.754776219271646
Palabra:atmosphere Frec:4 LogProb:-10.784395636452805
Palabra:atop Frec:2 LogProb:-11.295221260218796
Palabra:attach Frec:2 LogProb:-11.295221260218796
Palabra:attached Frec:9 LogProb:-10.09124845589286
Palabra:attachment Frec:2 LogProb:-11.295221260218796
Palabra:attack Frec:3 LogProb:-11.007539187767014
Palabra:attacked Frec:2 LogProb:-11.295221260218796
Palabra:attacks Frec:2 LogProb:-11.295221260218796
Palabra:attempt Frec:14 LogProb:-9.685783347784694
Palabra:attempted Frec:3 LogProb:-11.007539187767014
Palabra:attempting Frec:9 LogProb:-10.09124845589286
Palabra:attend Frec:13 LogProb:-9.754776219271646
Palabra:attendant Frec:2 LogProb:-11.295221260218796
Palabra:attendants Frec:20 LogProb:-9.349311111163482
Palabra:attending Frec:4 LogProb:-10.784395636452805
Palabra:attention Frec:34 LogProb:-8.838485487397492
Palabra:attentive Frec:3 LogProb:-11.007539187767014
Palabra:attitude Frec:7 LogProb:-10.314392007207069
Palabra:attitudes Frec:23 LogProb:-9.21577971853896
Palabra:attorney Frec:27 LogProb:-9.0616290387117
Palabra:attorneys Frec:4 LogProb:-10.784395636452805
Palabra:attract Frec:5 LogProb:-10.60207407965885
Palabra:attracting Frec:3 LogProb:-11.007539187767014
Palabra:attraction Frec:2 LogProb:-11.295221260218796
Palabra:attractive Frec:6 LogProb:-10.447923399831591
Palabra:auction Frec:3 LogProb:-11.007539187767014
Palabra:audience Frec:2 LogProb:-11.295221260218796
Palabra:audiences Frec:5 LogProb:-10.60207407965885
Palabra:audio Frec:3 LogProb:-11.007539187767014
Palabra:audit Frec:2 LogProb:-11.295221260218796
Palabra:audits Frec:2 LogProb:-11.295221260218796
