Numero de documentos (tweets) del corpus :15398
Número de palabras del corpus:195855
Palabra:apply Frec:17 LogProb:-9.381891168864481
Palabra:applying Frec:2 LogProb:-11.173650638092537
Palabra:appointment Frec:7 LogProb:-10.19282138508081
Palabra:appointments Frec:3 LogProb:-10.885968565640756
Palabra:appreciated Frec:1 LogProb:-11.579115746200701
Palabra:appreciation Frec:6 LogProb:-10.326352777705333
Palabra:approach Frec:15 LogProb:-9.499674204520865
Palabra:approaches Frec:5 LogProb:-10.480503457532592
Palabra:appropriately Frec:2 LogProb:-11.173650638092537
Palabra:approve Frec:8 LogProb:-10.075038349424426
Palabra:approved Frec:16 LogProb:-9.439049582704431
Palabra:approx Frec:3 LogProb:-10.885968565640756
Palabra:approximately Frec:7 LogProb:-10.19282138508081
Palabra:apps Frec:23 LogProb:-9.094209096412701
Palabra:area Frec:93 LogProb:-7.728968144490643
Palabra:areas Frec:54 LogProb:-8.264929741528174
Palabra:argue Frec:11 LogProb:-9.787356276972647
Palabra:argued Frec:5 LogProb:-10.480503457532592
Palabra:argues Frec:3 LogProb:-10.885968565640756
Palabra:arguing Frec:10 LogProb:-9.874367653962276
Palabra:argument Frec:3 LogProb:-10.885968565640756
Palabra:arguments Frec:2 LogProb:-11.173650638092537
Palabra:arising Frec:5 LogProb:-10.480503457532592
Palabra:arm Frec:5 LogProb:-10.480503457532592
Palabra:armed Frec:12 LogProb:-9.70731356929911
Palabra:arms Frec:8 LogProb:-10.075038349424426
Palabra:army Frec:28 LogProb:-8.904967096774172
Palabra:arrange Frec:5 LogProb:-10.480503457532592
Palabra:arrangements Frec:3 LogProb:-10.885968565640756
Palabra:arrest Frec:23 LogProb:-9.094209096412701
Palabra:arrested Frec:77 LogProb:-7.915554100071055
Palabra:arrests Frec:6 LogProb:-10.326352777705333
Palabra:arrival Frec:7 LogProb:-10.19282138508081
Palabra:arrive Frec:10 LogProb:-9.874367653962276
Palabra:arrived Frec:15 LogProb:-9.499674204520865
Palabra:arrives Frec:3 LogProb:-10.885968565640756
Palabra:arriving Frec:1 LogProb:-11.579115746200701
Palabra:arrows Frec:6 LogProb:-10.326352777705333
Palabra:art Frec:5 LogProb:-10.480503457532592
Palabra:arthritis Frec:2 LogProb:-11.173650638092537
Palabra:article Frec:63 LogProb:-8.113379843400974
Palabra:articles Frec:5 LogProb:-10.480503457532592
