Numero de documentos (tweets) del corpus :18046
Número de palabras del corpus:223478
Palabra:banning Frec:12 LogProb:-9.828884191425368
Palabra:bans Frec:15 LogProb:-9.621244826647123
Palabra:bar Frec:26 LogProb:-9.097996682882576
Palabra:bare Frec:39 LogProb:-8.704954094772969
Palabra:barely Frec:10 LogProb:-9.995938276088534
Palabra:bargain Frec:16 LogProb:-9.560620204830688
Palabra:bargaining Frec:5 LogProb:-10.60207407965885
Palabra:bargains Frec:4 LogProb:-10.784395636452805
Palabra:barrel Frec:13 LogProb:-9.754776219271646
Palabra:barrels Frec:6 LogProb:-10.447923399831591
Palabra:barren Frec:4 LogProb:-10.784395636452805
Palabra:barrier Frec:6 LogProb:-10.447923399831591
Palabra:barriers Frec:8 LogProb:-10.196608971550685
Palabra:bars Frec:29 LogProb:-8.992636167224749
Palabra:base Frec:17 LogProb:-9.503461790990741
Palabra:baseball Frec:5 LogProb:-10.60207407965885
Palabra:based Frec:171 LogProb:-7.246339072073452
Palabra:basement Frec:2 LogProb:-11.295221260218796
Palabra:bases Frec:4 LogProb:-10.784395636452805
Palabra:basic Frec:90 LogProb:-7.882974042370055
Palabra:basically Frec:20 LogProb:-9.349311111163482
Palabra:basics Frec:15 LogProb:-9.621244826647123
Palabra:basis Frec:20 LogProb:-9.349311111163482
Palabra:basket Frec:35 LogProb:-8.810314610430794
Palabra:basketball Frec:4 LogProb:-10.784395636452805
Palabra:baskets Frec:15 LogProb:-9.621244826647123
Palabra:bastard Frec:2 LogProb:-11.295221260218796
Palabra:bastards Frec:2 LogProb:-11.295221260218796
Palabra:bat Frec:3 LogProb:-11.007539187767014
Palabra:batch Frec:6 LogProb:-10.447923399831591
